date,arm,mase,smape,rmse,cumulative_profit,profit_index,avg_episode_reward,pricing_regret,fc_threshold,fc_mu,fc_sigma,rl_profit_floor,rl_ref_profit,fc_trigger,rl_trigger
2013-01-01,sdft,1.5047908846533042,153.0253291130066,6.160011291503906,4622.778222728967,1.381179362999715,4.620055722728972,0.00027426603437804485,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-01-08,sdft,1.488930867689944,151.64694786071777,6.096510410308838,4553.126127675777,1.3603689257167493,4.550403627675774,0.00028531325043122517,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-01-15,sdft,1.4749425810219785,151.3837218284607,5.906939506530762,4172.262277636536,1.2465756039431861,4.172262277636523,0.00026258175376493996,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-01-22,sdft,1.4698132905700454,150.68819522857666,5.829855918884277,4309.447270433905,1.2875633112992049,4.309447270433901,0.00025369155391131385,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-01-29,sdft,1.4736561721488541,150.51140785217285,5.767446517944336,4702.554763629434,1.4050147508626833,4.702554763629433,0.0002804739447763854,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-02-05,sdft,1.4051282281156858,151.11658573150635,5.492381572723389,4378.037571160796,1.3080565089611944,4.372543341038225,0.0003118060770105702,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-02-12,sdft,1.3848064852142545,151.24049186706543,5.402090072631836,4024.776528887751,1.202510268620193,4.019282298765178,0.00030179196589883144,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-02-19,sdft,1.407093439213822,150.80249309539795,5.374715805053711,4182.506530064945,1.2496363499625194,4.182506530064935,0.00027219248982449703,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-02-26,sdft,1.3588692789096577,149.5844841003418,5.1905035972595215,4398.844427628224,1.3142731171083066,4.398844427628219,0.0002805505459686739,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-03-05,sdft,1.3286320007358658,150.15076398849487,5.063120365142822,4345.923726940456,1.2984616340252435,4.345923726940456,0.0002906603917157077,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-03-12,sdft,1.323577536531125,150.31884908676147,5.0776143074035645,4331.915427513126,1.2942762776989072,4.331915427513128,0.0003082615185837127,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-03-19,sdft,1.344999763987464,150.7959246635437,5.187948226928711,4318.542222878935,1.2902806730283,4.318542222878934,0.000323062123014332,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-03-26,sdft,1.373481342302864,151.81427001953125,5.214177131652832,4416.867611376944,1.319658028140138,4.41686761137694,0.00037794132375138385,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-04-02,sdft,1.3878413921758306,151.83203220367432,5.273073196411133,4532.671801402873,1.354257645449551,4.532671801402868,0.0004218148036403378,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
