arm,n_fc_retrains,n_rl_retrains,n_retrains_total,fc_epochs_total,rl_steps_total,walk_mase_mean,profit_index_vs_frozen,forgetting_mase_base_era,adaptation_mase_walk_era
frozen,0,0,0,0,0,1.4744602735295542,1.0,0.0,0.0
ewc,4,7,11,20,105000,1.418238965014272,1.0358424556934902,-0.020659796354674503,0.11392526923529266
replay,1,8,9,5,120000,1.0222073894571728,0.9921221360209282,-0.10569539155441103,0.6889970331139121
sdft,1,10,11,5,150000,1.0744326936445876,1.0102913086034586,0.06047018882732612,0.622542992453477
