cl_method,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6
ewc,64.2431,82.6213,69.7655,81.5332,74.0223,84.6794
naive,55.9282,88.9717,65.1829,99.9825,80.0312,143.8219
replay,49.1321,74.0929,130.0196,112.4571,132.2815,102.0997
sdft,67.6078,128.7175,85.6327,121.3138,92.5135,113.6932
