model_type,cl_method,train_task_id,eval_task_id,metric_name,metric_value,timestamp
forecasting,ewc,3,2,mase,0.5837990261464103,2026-05-06T15:36:09
forecasting,ewc,3,2,smape,79.11675572395325,2026-05-06T15:36:09
forecasting,ewc,3,2,rmse,252.35482788085938,2026-05-06T15:36:09
forecasting,ewc,3,3,mase,0.6791717022826862,2026-05-06T15:36:18
forecasting,ewc,3,3,smape,65.53188562393188,2026-05-06T15:36:18
forecasting,ewc,3,3,rmse,379.9591064453125,2026-05-06T15:36:18
forecasting,ewc,4,1,mase,0.6810819070196981,2026-05-06T15:37:40
forecasting,ewc,4,1,smape,68.80050301551819,2026-05-06T15:37:40
forecasting,ewc,4,1,rmse,374.1341247558594,2026-05-06T15:37:40
forecasting,ewc,4,2,mase,0.7332370036210419,2026-05-06T15:37:52
forecasting,ewc,4,2,smape,74.48838353157043,2026-05-06T15:37:52
forecasting,ewc,4,2,rmse,308.9643249511719,2026-05-06T15:37:52
forecasting,ewc,4,3,mase,0.7601828096375257,2026-05-06T15:38:01
forecasting,ewc,4,3,smape,64.50952887535095,2026-05-06T15:38:01
forecasting,ewc,4,3,rmse,392.76019287109375,2026-05-06T15:38:01
forecasting,ewc,4,4,mase,0.7534948032091388,2026-05-06T15:38:13
forecasting,ewc,4,4,smape,76.11702680587769,2026-05-06T15:38:13
forecasting,ewc,4,4,rmse,298.57110595703125,2026-05-06T15:38:13
forecasting,ewc,5,1,mase,0.5672095817160636,2026-05-06T15:38:58
forecasting,ewc,5,1,smape,51.7512321472168,2026-05-06T15:38:58
forecasting,ewc,5,1,rmse,320.45489501953125,2026-05-06T15:38:58
forecasting,ewc,5,2,mase,0.7492481348984791,2026-05-06T15:39:10
forecasting,ewc,5,2,smape,76.56080722808838,2026-05-06T15:39:10
forecasting,ewc,5,2,rmse,303.442626953125,2026-05-06T15:39:10
forecasting,ewc,5,3,mase,0.8965194946502,2026-05-06T15:39:19
forecasting,ewc,5,3,smape,72.1487820148468,2026-05-06T15:39:19
forecasting,ewc,5,3,rmse,430.98291015625,2026-05-06T15:39:19
forecasting,ewc,5,4,mase,0.8921845570294086,2026-05-06T15:39:31
forecasting,ewc,5,4,smape,81.7658543586731,2026-05-06T15:39:31
forecasting,ewc,5,4,rmse,351.4407653808594,2026-05-06T15:39:31
forecasting,ewc,5,5,mase,0.9844822508589618,2026-05-06T15:39:41
forecasting,ewc,5,5,smape,72.00424075126648,2026-05-06T15:39:41
forecasting,ewc,5,5,rmse,491.42974853515625,2026-05-06T15:39:41
forecasting,ewc,6,1,mase,0.5933647083415989,2026-05-06T15:40:54
forecasting,ewc,6,1,smape,55.677831172943115,2026-05-06T15:40:54
forecasting,ewc,6,1,rmse,321.2207946777344,2026-05-06T15:40:54
forecasting,ewc,6,2,mase,0.8796606609978355,2026-05-06T15:41:06
forecasting,ewc,6,2,smape,84.60776209831238,2026-05-06T15:41:06
forecasting,ewc,6,2,rmse,342.22503662109375,2026-05-06T15:41:06
forecasting,ewc,6,3,mase,0.9644314069546158,2026-05-06T15:41:15
forecasting,ewc,6,3,smape,76.87187194824219,2026-05-06T15:41:15
forecasting,ewc,6,3,rmse,446.10540771484375,2026-05-06T15:41:15
forecasting,ewc,6,4,mase,0.9919921385357067,2026-05-06T15:41:27
forecasting,ewc,6,4,smape,86.71686053276062,2026-05-06T15:41:27
forecasting,ewc,6,4,rmse,384.18798828125,2026-05-06T15:41:27
forecasting,ewc,6,5,mase,1.0400894978603559,2026-05-06T15:41:36
forecasting,ewc,6,5,smape,76.04034543037415,2026-05-06T15:41:36
forecasting,ewc,6,5,rmse,500.6729431152344,2026-05-06T15:41:36
forecasting,ewc,6,6,mase,1.0188033357822792,2026-05-06T15:41:49
forecasting,ewc,6,6,smape,84.6794068813324,2026-05-06T15:41:49
forecasting,ewc,6,6,rmse,412.0015563964844,2026-05-06T15:41:49
forecasting,replay,1,1,mase,0.744377168412367,2026-05-06T15:42:43
forecasting,replay,1,1,smape,59.483325481414795,2026-05-06T15:42:43
forecasting,replay,1,1,rmse,380.109375,2026-05-06T15:42:43
forecasting,replay,2,1,mase,0.9402152492337785,2026-05-06T15:43:54
forecasting,replay,2,1,smape,69.08652186393738,2026-05-06T15:43:54
forecasting,replay,2,1,rmse,631.4736328125,2026-05-06T15:43:54
forecasting,replay,2,2,mase,2.4686360761293766,2026-05-06T15:44:06
forecasting,replay,2,2,smape,118.52277517318726,2026-05-06T15:44:06
forecasting,replay,2,2,rmse,1221.773193359375,2026-05-06T15:44:06
forecasting,replay,3,1,mase,0.45367447741981526,2026-05-06T15:45:03
forecasting,replay,3,1,smape,38.963013887405396,2026-05-06T15:45:03
forecasting,replay,3,1,rmse,399.5704650878906,2026-05-06T15:45:03
forecasting,replay,3,2,mase,0.6109404339352127,2026-05-06T15:45:15
forecasting,replay,3,2,smape,51.44987106323242,2026-05-06T15:45:15
forecasting,replay,3,2,rmse,692.6835327148438,2026-05-06T15:45:15
forecasting,replay,3,3,mase,4.464423479050922,2026-05-06T15:45:24
forecasting,replay,3,3,smape,116.80725812911987,2026-05-06T15:45:24
forecasting,replay,3,3,rmse,2251.78466796875,2026-05-06T15:45:24
forecasting,replay,4,1,mase,0.6560968198856246,2026-05-06T15:46:29
forecasting,replay,4,1,smape,53.81659269332886,2026-05-06T15:46:29
forecasting,replay,4,1,rmse,690.3095703125,2026-05-06T15:46:29
forecasting,replay,4,2,mase,2.0285250126359,2026-05-06T15:46:41
forecasting,replay,4,2,smape,102.3597240447998,2026-05-06T15:46:41
forecasting,replay,4,2,rmse,1347.439697265625,2026-05-06T15:46:41
forecasting,replay,4,3,mase,7.697205755414994,2026-05-06T15:46:50
forecasting,replay,4,3,smape,146.7985987663269,2026-05-06T15:46:50
forecasting,replay,4,3,rmse,3581.98095703125,2026-05-06T15:46:50
forecasting,replay,4,4,mase,5.814660405368488,2026-05-06T15:47:02
forecasting,replay,4,4,smape,149.19663667678833,2026-05-06T15:47:02
forecasting,replay,4,4,rmse,2692.414794921875,2026-05-06T15:47:02
forecasting,replay,5,1,mase,0.37886225616129754,2026-05-06T15:47:57
forecasting,replay,5,1,smape,31.920859217643738,2026-05-06T15:47:57
forecasting,replay,5,1,rmse,323.3245544433594,2026-05-06T15:47:57
forecasting,replay,5,2,mase,0.4172149638822738,2026-05-06T15:48:10
forecasting,replay,5,2,smape,43.43653619289398,2026-05-06T15:48:10
forecasting,replay,5,2,rmse,398.9602355957031,2026-05-06T15:48:10
forecasting,replay,5,3,mase,3.1603677016357827,2026-05-06T15:48:18
forecasting,replay,5,3,smape,126.68739557266235,2026-05-06T15:48:18
forecasting,replay,5,3,rmse,1466.0118408203125,2026-05-06T15:48:18
forecasting,replay,5,4,mase,1.2840018151577057,2026-05-06T15:48:31
forecasting,replay,5,4,smape,90.79490900039673,2026-05-06T15:48:31
forecasting,replay,5,4,rmse,709.2462768554688,2026-05-06T15:48:31
forecasting,replay,5,5,mase,4.06385146401174,2026-05-06T15:48:40
forecasting,replay,5,5,smape,133.63041877746582,2026-05-06T15:48:40
forecasting,replay,5,5,rmse,1776.548583984375,2026-05-06T15:48:40
forecasting,replay,6,1,mase,0.44010855369343505,2026-05-06T15:49:33
forecasting,replay,6,1,smape,41.52210056781769,2026-05-06T15:49:33
forecasting,replay,6,1,rmse,378.30584716796875,2026-05-06T15:49:33
forecasting,replay,6,2,mase,0.6207738939561831,2026-05-06T15:49:45
forecasting,replay,6,2,smape,54.695457220077515,2026-05-06T15:49:45
forecasting,replay,6,2,rmse,585.47607421875,2026-05-06T15:49:45
forecasting,replay,6,3,mase,3.7346215414335857,2026-05-06T15:49:55
forecasting,replay,6,3,smape,129.78501319885254,2026-05-06T15:49:55
forecasting,replay,6,3,rmse,1716.488525390625,2026-05-06T15:49:55
forecasting,replay,6,4,mase,1.696318959463102,2026-05-06T15:50:07
forecasting,replay,6,4,smape,97.37963080406189,2026-05-06T15:50:07
forecasting,replay,6,4,rmse,856.847412109375,2026-05-06T15:50:07
forecasting,replay,6,5,mase,4.258654983858246,2026-05-06T15:50:16
forecasting,replay,6,5,smape,130.93258142471313,2026-05-06T15:50:16
forecasting,replay,6,5,rmse,1903.525390625,2026-05-06T15:50:16
forecasting,replay,6,6,mase,2.1637042984706887,2026-05-06T15:50:28
forecasting,replay,6,6,smape,102.09965705871582,2026-05-06T15:50:28
forecasting,replay,6,6,rmse,1063.8682861328125,2026-05-06T15:50:28
forecasting,sdft,1,1,mase,0.8557127292751214,2026-05-06T15:51:10
forecasting,sdft,1,1,smape,65.5849039554596,2026-05-06T15:51:10
forecasting,sdft,1,1,rmse,429.5641784667969,2026-05-06T15:51:10
forecasting,sdft,2,1,mase,1.0388802551745162,2026-05-06T15:52:02
forecasting,sdft,2,1,smape,67.85813570022583,2026-05-06T15:52:02
forecasting,sdft,2,1,rmse,590.0444946289062,2026-05-06T15:52:02
forecasting,sdft,2,2,mase,5.082719390125578,2026-05-06T15:52:14
forecasting,sdft,2,2,smape,133.61291885375977,2026-05-06T15:52:14
forecasting,sdft,2,2,rmse,2442.09228515625,2026-05-06T15:52:14
forecasting,sdft,3,1,mase,1.0087753381354672,2026-05-06T15:53:38
forecasting,sdft,3,1,smape,66.69482588768005,2026-05-06T15:53:38
forecasting,sdft,3,1,rmse,576.08642578125,2026-05-06T15:53:38
forecasting,sdft,3,2,mase,5.039913802488917,2026-05-06T15:53:52
forecasting,sdft,3,2,smape,132.067608833313,2026-05-06T15:53:52
forecasting,sdft,3,2,rmse,2461.752197265625,2026-05-06T15:53:52
forecasting,sdft,3,3,mase,1.8950817999430194,2026-05-06T15:54:01
forecasting,sdft,3,3,smape,85.96636652946472,2026-05-06T15:54:01
forecasting,sdft,3,3,rmse,996.2749633789062,2026-05-06T15:54:01
forecasting,sdft,4,1,mase,1.0890749235556125,2026-05-06T15:54:45
forecasting,sdft,4,1,smape,68.28664541244507,2026-05-06T15:54:45
forecasting,sdft,4,1,rmse,636.4251708984375,2026-05-06T15:54:45
forecasting,sdft,4,2,mase,4.618216566403646,2026-05-06T15:54:58
forecasting,sdft,4,2,smape,128.49820852279663,2026-05-06T15:54:58
forecasting,sdft,4,2,rmse,2245.84130859375,2026-05-06T15:54:58
forecasting,sdft,4,3,mase,1.8633626900399625,2026-05-06T15:55:07
forecasting,sdft,4,3,smape,85.93973517417908,2026-05-06T15:55:07
forecasting,sdft,4,3,rmse,993.9812622070312,2026-05-06T15:55:07
forecasting,sdft,4,4,mase,4.351261838063221,2026-05-06T15:55:20
forecasting,sdft,4,4,smape,124.0389347076416,2026-05-06T15:55:20
forecasting,sdft,4,4,rmse,2099.880126953125,2026-05-06T15:55:20
forecasting,sdft,5,1,mase,1.1164727419106049,2026-05-06T15:56:00
forecasting,sdft,5,1,smape,68.39840412139893,2026-05-06T15:56:00
forecasting,sdft,5,1,rmse,669.0637817382812,2026-05-06T15:56:00
forecasting,sdft,5,2,mase,4.349410706115866,2026-05-06T15:56:11
forecasting,sdft,5,2,smape,127.2250771522522,2026-05-06T15:56:11
forecasting,sdft,5,2,rmse,2101.685302734375,2026-05-06T15:56:11
forecasting,sdft,5,3,mase,1.8838263948969884,2026-05-06T15:56:20
