model_type,cl_method,train_task_id,eval_task_id,eval_phase,metric_name,metric_value,timestamp
forecasting,naive,4,6,future,smape,162.15544939041138,2026-06-04T21:49:05
forecasting,naive,4,6,future,rmse,5658.7880859375,2026-06-04T21:49:05
forecasting,naive,5,1,seen,mase,0.5517155323919881,2026-06-04T21:50:58
forecasting,naive,5,1,seen,smape,37.61671483516693,2026-06-04T21:50:58
forecasting,naive,5,1,seen,rmse,396.3868713378906,2026-06-04T21:50:58
forecasting,naive,5,2,seen,mase,4.692524059512004,2026-06-04T21:51:08
forecasting,naive,5,2,seen,smape,70.40025591850281,2026-06-04T21:51:08
forecasting,naive,5,2,seen,rmse,324.310302734375,2026-06-04T21:51:08
forecasting,naive,5,3,seen,mase,0.9396333476594269,2026-06-04T21:51:16
forecasting,naive,5,3,seen,smape,55.88470697402954,2026-06-04T21:51:16
forecasting,naive,5,3,seen,rmse,734.5389404296875,2026-06-04T21:51:16
forecasting,naive,5,4,seen,mase,7.174539997278626,2026-06-04T21:51:27
forecasting,naive,5,4,seen,smape,89.7559106349945,2026-06-04T21:51:27
forecasting,naive,5,4,seen,rmse,455.49932861328125,2026-06-04T21:51:27
forecasting,naive,5,5,seen,mase,1.3278167335720656,2026-06-04T21:51:34
forecasting,naive,5,5,seen,smape,72.73143529891968,2026-06-04T21:51:34
forecasting,naive,5,5,seen,rmse,979.6055297851562,2026-06-04T21:51:34
forecasting,naive,5,6,future,mase,7.854219009069175,2026-06-04T21:51:45
forecasting,naive,5,6,future,smape,104.65785264968872,2026-06-04T21:51:45
forecasting,naive,5,6,future,rmse,606.4541625976562,2026-06-04T21:51:45
forecasting,naive,6,1,seen,mase,0.99282254885635,2026-06-04T21:53:11
forecasting,naive,6,1,seen,smape,67.973393201828,2026-06-04T21:53:11
forecasting,naive,6,1,seen,rmse,656.3396606445312,2026-06-04T21:53:11
forecasting,naive,6,2,seen,mase,19.669795318228275,2026-06-04T21:53:22
forecasting,naive,6,2,seen,smape,122.27458953857422,2026-06-04T21:53:22
forecasting,naive,6,2,seen,rmse,1880.5728759765625,2026-06-04T21:53:22
forecasting,naive,6,3,seen,mase,2.1337158785625707,2026-06-04T21:53:29
forecasting,naive,6,3,seen,smape,98.01033139228821,2026-06-04T21:53:29
forecasting,naive,6,3,seen,rmse,1459.1593017578125,2026-06-04T21:53:29
forecasting,naive,6,4,seen,mase,36.627703965042585,2026-06-04T21:53:40
forecasting,naive,6,4,seen,smape,149.1059422492981,2026-06-04T21:53:40
forecasting,naive,6,4,seen,rmse,2808.792724609375,2026-06-04T21:53:40
forecasting,naive,6,5,seen,mase,4.191698900800031,2026-06-04T21:53:47
forecasting,naive,6,5,seen,smape,128.6037564277649,2026-06-04T21:53:47
forecasting,naive,6,5,seen,rmse,2363.530029296875,2026-06-04T21:53:47
forecasting,naive,6,6,seen,mase,48.46707748475608,2026-06-04T21:53:58
forecasting,naive,6,6,seen,smape,159.92096662521362,2026-06-04T21:53:58
forecasting,naive,6,6,seen,rmse,4161.78955078125,2026-06-04T21:53:58
forecasting,ewc,1,1,seen,mase,0.6837739159290429,2026-06-04T21:56:03
forecasting,ewc,1,1,seen,smape,56.65541887283325,2026-06-04T21:56:03
forecasting,ewc,1,1,seen,rmse,341.1722106933594,2026-06-04T21:56:03
forecasting,ewc,1,2,future,mase,6.844376914483218,2026-06-04T21:56:13
forecasting,ewc,1,2,future,smape,85.07762551307678,2026-06-04T21:56:13
forecasting,ewc,1,2,future,rmse,418.0386962890625,2026-06-04T21:56:13
forecasting,ewc,1,3,future,mase,0.9435519969895173,2026-06-04T21:56:21
forecasting,ewc,1,3,future,smape,70.50685286521912,2026-06-04T21:56:21
forecasting,ewc,1,3,future,rmse,526.67724609375,2026-06-04T21:56:21
forecasting,ewc,1,4,future,mase,7.1614299058918265,2026-06-04T21:56:32
forecasting,ewc,1,4,future,smape,82.18627572059631,2026-06-04T21:56:32
forecasting,ewc,1,4,future,rmse,453.3365173339844,2026-06-04T21:56:32
forecasting,ewc,1,5,future,mase,1.0515125427264165,2026-06-04T21:56:39
forecasting,ewc,1,5,future,smape,71.49798274040222,2026-06-04T21:56:39
forecasting,ewc,1,5,future,rmse,584.4259033203125,2026-06-04T21:56:39
forecasting,ewc,1,6,future,mase,5.75136916842046,2026-06-04T21:56:49
forecasting,ewc,1,6,future,smape,78.84308099746704,2026-06-04T21:56:49
forecasting,ewc,1,6,future,rmse,459.1372985839844,2026-06-04T21:56:49
forecasting,ewc,2,1,seen,mase,0.7560750294461409,2026-06-04T21:59:38
forecasting,ewc,2,1,seen,smape,59.8717987537384,2026-06-04T21:59:38
forecasting,ewc,2,1,seen,rmse,364.1649169921875,2026-06-04T21:59:38
forecasting,ewc,2,2,seen,mase,8.154586000250081,2026-06-04T21:59:49
forecasting,ewc,2,2,seen,smape,89.90603685379028,2026-06-04T21:59:49
forecasting,ewc,2,2,seen,rmse,508.295654296875,2026-06-04T21:59:49
forecasting,ewc,2,3,future,mase,1.1015706097652078,2026-06-04T21:59:56
forecasting,ewc,2,3,future,smape,75.29533505439758,2026-06-04T21:59:56
forecasting,ewc,2,3,future,rmse,598.0748901367188,2026-06-04T21:59:56
forecasting,ewc,2,4,future,mase,8.994564083787562,2026-06-04T22:00:07
forecasting,ewc,2,4,future,smape,88.35124373435974,2026-06-04T22:00:07
forecasting,ewc,2,4,future,rmse,575.0851440429688,2026-06-04T22:00:07
forecasting,ewc,2,5,future,mase,1.231216427925116,2026-06-04T22:00:14
forecasting,ewc,2,5,future,smape,76.4552354812622,2026-06-04T22:00:14
forecasting,ewc,2,5,future,rmse,662.6040649414062,2026-06-04T22:00:14
forecasting,ewc,2,6,future,mase,7.3363533965811225,2026-06-04T22:00:25
forecasting,ewc,2,6,future,smape,85.76952815055847,2026-06-04T22:00:25
forecasting,ewc,2,6,future,rmse,589.7261962890625,2026-06-04T22:00:25
forecasting,ewc,3,1,seen,mase,0.6170440845977121,2026-06-04T22:02:16
forecasting,ewc,3,1,seen,smape,58.42046141624451,2026-06-04T22:02:16
forecasting,ewc,3,1,seen,rmse,339.0121154785156,2026-06-04T22:02:16
forecasting,ewc,3,2,seen,mase,4.809341870705314,2026-06-04T22:02:28
forecasting,ewc,3,2,seen,smape,74.31786060333252,2026-06-04T22:02:28
forecasting,ewc,3,2,seen,rmse,295.6397705078125,2026-06-04T22:02:28
forecasting,ewc,3,3,seen,mase,0.76987626828234,2026-06-04T22:02:36
forecasting,ewc,3,3,seen,smape,64.73863124847412,2026-06-04T22:02:36
forecasting,ewc,3,3,seen,rmse,453.05908203125,2026-06-04T22:02:36
forecasting,ewc,3,4,future,mase,5.908140261185726,2026-06-04T22:02:47
forecasting,ewc,3,4,future,smape,77.27216482162476,2026-06-04T22:02:47
forecasting,ewc,3,4,future,rmse,369.5053405761719,2026-06-04T22:02:47
forecasting,ewc,3,5,future,mase,0.8577044923300504,2026-06-04T22:02:55
forecasting,ewc,3,5,future,smape,66.93736910820007,2026-06-04T22:02:55
forecasting,ewc,3,5,future,rmse,467.7466735839844,2026-06-04T22:02:55
forecasting,ewc,3,6,future,mase,4.7703635066181125,2026-06-04T22:03:05
forecasting,ewc,3,6,future,smape,74.2604672908783,2026-06-04T22:03:05
forecasting,ewc,3,6,future,rmse,374.6607971191406,2026-06-04T22:03:05
forecasting,ewc,4,1,seen,mase,0.6489801792059708,2026-06-04T22:05:45
forecasting,ewc,4,1,seen,smape,57.80050754547119,2026-06-04T22:05:45
forecasting,ewc,4,1,seen,rmse,352.3521728515625,2026-06-04T22:05:45
forecasting,ewc,4,2,seen,mase,5.981349475052048,2026-06-04T22:05:56
forecasting,ewc,4,2,seen,smape,80.93695044517517,2026-06-04T22:05:56
forecasting,ewc,4,2,seen,rmse,370.476806640625,2026-06-04T22:05:56
forecasting,ewc,4,3,seen,mase,0.9025193316767249,2026-06-04T22:06:03
forecasting,ewc,4,3,seen,smape,69.9348509311676,2026-06-04T22:06:03
forecasting,ewc,4,3,seen,rmse,504.5323181152344,2026-06-04T22:06:03
forecasting,ewc,4,4,seen,mase,7.510281986270209,2026-06-04T22:06:14
forecasting,ewc,4,4,seen,smape,83.99844765663147,2026-06-04T22:06:14
forecasting,ewc,4,4,seen,rmse,474.7333679199219,2026-06-04T22:06:14
forecasting,ewc,4,5,future,mase,1.0116624647731856,2026-06-04T22:06:22
forecasting,ewc,4,5,future,smape,72.05582857131958,2026-06-04T22:06:22
forecasting,ewc,4,5,future,rmse,531.3359375,2026-06-04T22:06:22
forecasting,ewc,4,6,future,mase,6.217849485155281,2026-06-04T22:06:33
forecasting,ewc,4,6,future,smape,81.68759346008301,2026-06-04T22:06:33
forecasting,ewc,4,6,future,rmse,493.3831481933594,2026-06-04T22:06:33
forecasting,ewc,5,1,seen,mase,0.6408586766008669,2026-06-04T22:08:29
forecasting,ewc,5,1,seen,smape,56.54670596122742,2026-06-04T22:08:29
forecasting,ewc,5,1,seen,rmse,398.3189392089844,2026-06-04T22:08:29
forecasting,ewc,5,2,seen,mase,4.566797015059324,2026-06-04T22:08:39
forecasting,ewc,5,2,seen,smape,71.79298400878906,2026-06-04T22:08:39
forecasting,ewc,5,2,seen,rmse,295.2645568847656,2026-06-04T22:08:39
forecasting,ewc,5,3,seen,mase,0.8064714194261264,2026-06-04T22:08:47
forecasting,ewc,5,3,seen,smape,65.2554452419281,2026-06-04T22:08:47
